Date,Open,High,Low,Close,Adj Close,Volume
2015-03-18,18.516800,19.252399,18.167200,19.252399,14.305656,17369550
2015-03-19,19.111601,19.142900,18.694201,18.929001,14.065356,11618096
2015-03-20,19.085501,19.435101,19.022900,19.221100,14.282405,19569661
2015-03-23,19.148100,19.435101,19.028099,19.174200,14.247544,8758853
2015-03-24,19.200300,19.393299,18.767200,18.991600,14.111868,9565950
2015-03-25,19.148100,19.289000,18.788099,19.002001,14.119596,21410785
2015-03-26,18.840300,18.929001,18.360300,18.417601,13.685349,22958088
2015-03-27,18.426001,18.426001,17.655899,17.906300,13.305429,15935743
2015-03-30,18.000200,18.306999,17.812401,18.282000,13.584590,15340786
2015-03-31,18.050301,18.645100,17.993999,18.501101,13.747398,17384084
2015-04-01,18.820400,19.421499,18.707701,19.102200,14.194047,14598408
2015-04-02,19.308800,19.609301,19.233700,19.290001,14.347854,12538339
2015-04-06,19.534201,19.709499,19.383900,19.477800,14.487533,9130393
2015-04-07,19.502899,19.659401,19.352600,19.584299,14.566750,8794183
2015-04-08,19.671900,19.828400,19.527901,19.577999,14.562056,14153907
2015-04-09,19.252399,19.390200,18.939400,19.227400,14.301283,16875376
2015-04-10,19.102200,19.502899,18.976999,19.302500,14.357143,11045276
2015-04-13,19.315100,19.690701,19.277500,19.352600,14.394413,12980444
2015-04-14,19.621799,19.621799,19.171000,19.621799,14.594640,13670115
2015-04-15,19.653099,19.841000,19.471600,19.834700,14.752995,15522547
2015-04-16,19.828400,19.841000,19.571800,19.841000,14.757681,11951528
2015-04-17,19.571800,19.665701,19.246201,19.252399,14.319880,11256746
2015-04-20,19.346399,19.471600,19.002001,19.146000,14.240737,8650115
2015-04-22,19.146000,19.596800,19.014500,19.302500,14.357143,11482430
2015-04-23,19.302500,20.028799,19.114700,19.797100,14.725028,14670441
2015-04-24,20.003799,20.504601,19.834700,20.348101,15.134862,18980166
2015-04-27,20.141500,20.504601,19.909800,19.966200,14.850803,17599546
2015-04-28,20.053801,20.379400,19.884800,20.348101,15.134862,13239031
2015-04-29,20.229200,20.366899,19.728300,19.740801,14.683154,20348966
2015-04-30,19.740801,20.153999,19.697001,20.147800,14.985882,14777294
2015-05-04,20.273001,20.542200,20.172800,20.247900,15.060328,11272239
2015-05-05,20.047600,20.492100,19.847200,20.316799,15.124464,14615817
2015-05-06,20.266701,20.441999,19.615601,19.815901,14.751572,13968951
2015-05-07,19.628099,19.841000,19.509100,19.740801,14.695677,7899591
2015-05-08,20.078899,20.110201,19.552999,19.815901,14.751572,8371564
2015-05-11,19.972500,19.997499,19.634399,19.753300,14.704979,9792752
2015-05-12,19.640600,19.803400,19.552999,19.552999,14.555863,6313571
2015-05-13,19.565500,19.678200,19.277500,19.358900,14.411369,9711614
2015-05-14,19.409000,19.828400,19.258699,19.803400,14.742275,8617692
2015-05-15,19.797100,20.210400,19.671900,20.147800,14.998660,9383869
2015-05-18,20.222900,20.254200,19.471600,19.634399,14.616461,14891813
